timestamp,src_ip,dst_ip,protocol,packet_length,ttl,tcp_flag,window_size,source_location,experiment_id,experiment_timestamp
1783080186.489705,192.168.1.31,185.222.222.222,UDP,1038,64,,,sg,306e2d15474c4d0da52d70440ab3a75c,2026-07-03T12:03:00
1783080186.600999,185.222.222.222,192.168.1.31,ICMP,590,45,,,sg,306e2d15474c4d0da52d70440ab3a75c,2026-07-03T12:03:00
1783080186.855765,192.168.1.31,185.222.222.222,UDP,1038,64,,,sg,306e2d15474c4d0da52d70440ab3a75c,2026-07-03T12:03:00
1783080188.12907,192.168.1.31,185.222.222.222,UDP,1038,64,,,sg,306e2d15474c4d0da52d70440ab3a75c,2026-07-03T12:03:00
1783080188.220198,185.222.222.222,192.168.1.31,ICMP,590,45,,,sg,306e2d15474c4d0da52d70440ab3a75c,2026-07-03T12:03:00
1783080188.285872,192.168.1.31,35.186.224.24,TCP,55,128,A,252.0,sg,306e2d15474c4d0da52d70440ab3a75c,2026-07-03T12:03:00
1783080188.303204,35.186.224.24,192.168.1.31,TCP,60,108,R,0.0,sg,306e2d15474c4d0da52d70440ab3a75c,2026-07-03T12:03:00
1783080188.475063,192.168.1.31,185.222.222.222,UDP,1038,64,,,sg,306e2d15474c4d0da52d70440ab3a75c,2026-07-03T12:03:00
1783080188.564838,185.222.222.222,192.168.1.31,ICMP,590,45,,,sg,306e2d15474c4d0da52d70440ab3a75c,2026-07-03T12:03:00
1783080188.82085,192.168.1.31,185.222.222.222,UDP,1038,64,,,sg,306e2d15474c4d0da52d70440ab3a75c,2026-07-03T12:03:00
1783080189.370504,192.168.1.31,35.186.224.35,TCP,97,128,PA,252.0,sg,306e2d15474c4d0da52d70440ab3a75c,2026-07-03T12:03:00
1783080189.403141,35.186.224.35,192.168.1.31,TCP,60,120,A,1041.0,sg,306e2d15474c4d0da52d70440ab3a75c,2026-07-03T12:03:00
1783080189.450776,35.186.224.35,192.168.1.31,TCP,94,120,PA,1041.0,sg,306e2d15474c4d0da52d70440ab3a75c,2026-07-03T12:03:00
1783080189.495905,192.168.1.31,35.186.224.35,TCP,54,128,A,252.0,sg,306e2d15474c4d0da52d70440ab3a75c,2026-07-03T12:03:00
1783080190.094225,192.168.1.31,185.222.222.222,UDP,1038,64,,,sg,306e2d15474c4d0da52d70440ab3a75c,2026-07-03T12:03:00
1783080190.191784,185.222.222.222,192.168.1.31,ICMP,590,45,,,sg,306e2d15474c4d0da52d70440ab3a75c,2026-07-03T12:03:00
1783080190.446019,192.168.1.31,185.222.222.222,UDP,1038,64,,,sg,306e2d15474c4d0da52d70440ab3a75c,2026-07-03T12:03:00
1783080190.534066,185.222.222.222,192.168.1.31,ICMP,590,45,,,sg,306e2d15474c4d0da52d70440ab3a75c,2026-07-03T12:03:00
1783080190.788385,192.168.1.31,185.222.222.222,UDP,1038,64,,,sg,306e2d15474c4d0da52d70440ab3a75c,2026-07-03T12:03:00
1783080200.188932,192.168.1.31,185.222.222.222,UDP,1414,64,,,sg,3302be8da62d478da8ca3f10f4567d16,2026-07-03T12:03:20
1783080200.316897,192.168.1.21,224.0.0.251,UDP,91,255,,,sg,3302be8da62d478da8ca3f10f4567d16,2026-07-03T12:03:20
1783080201.127257,104.199.241.202,192.168.1.31,TCP,65,56,PA,11.0,sg,3302be8da62d478da8ca3f10f4567d16,2026-07-03T12:03:20
1783080201.181694,192.168.1.31,104.199.241.202,TCP,54,128,A,255.0,sg,3302be8da62d478da8ca3f10f4567d16,2026-07-03T12:03:20
1783080201.240528,192.168.1.18,192.168.1.255,UDP,126,64,,,sg,3302be8da62d478da8ca3f10f4567d16,2026-07-03T12:03:20
1783080201.492771,192.168.1.31,185.222.222.222,UDP,1414,64,,,sg,3302be8da62d478da8ca3f10f4567d16,2026-07-03T12:03:20
1783080201.584178,185.222.222.222,192.168.1.31,ICMP,590,45,,,sg,3302be8da62d478da8ca3f10f4567d16,2026-07-03T12:03:20
